종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,연도,자산,부채,자본,매출액,액면가
고영,579999,98460,기계·장비,70,전자장비와 기기,G452030,2020,3.02574E+11,56516358154,2.46058E+11,1.79545E+11,21020
심텍,1095722,222800,반도체,159,전자장비와 기기,G452030,2015,5.48349E+11,3.93455E+11,1.54894E+11,3.95471E+11,6250
심텍,1095722,222800,반도체,159,전자장비와 기기,G452030,2016,6.01185E+11,4.22E+11,1.79184E+11,7.92026E+11,11416
심텍,1095722,222800,반도체,159,전자장비와 기기,G452030,2017,7.28157E+11,5.13409E+11,2.14748E+11,8.11565E+11,10084
심텍,1095722,222800,반도체,159,전자장비와 기기,G452030,2018,8.13349E+11,5.98778E+11,2.14571E+11,1.00755E+12,6469
심텍,1095722,222800,반도체,159,전자장비와 기기,G452030,2019,8.39946E+11,6.78424E+11,1.61522E+11,1.00019E+12,11844
심텍,1095722,222800,반도체,159,전자장비와 기기,G452030,2020,7.79779E+11,4.9148E+11,2.88299E+11,1.20137E+12,23100
이오테크닉스,246417,39030,반도체,159,반도체와 반도체 장비,G453010,2015,3.72881E+11,67830829245,3.0505E+11,2.70021E+11,124100
이오테크닉스,246417,39030,반도체,159,반도체와 반도체 장비,G453010,2016,4.08605E+11,86430212117,3.22174E+11,3.07727E+11,89900
이오테크닉스,246417,39030,반도체,159,반도체와 반도체 장비,G453010,2017,4.38475E+11,77063777720,3.61412E+11,4.04152E+11,109200
이오테크닉스,246417,39030,반도체,159,반도체와 반도체 장비,G453010,2018,4.28464E+11,49684502428,3.7878E+11,2.94095E+11,48300
이오테크닉스,246417,39030,반도체,159,반도체와 반도체 장비,G453010,2019,4.46386E+11,52598515328,3.93787E+11,2.0647E+11,102500
이오테크닉스,246417,39030,반도체,159,반도체와 반도체 장비,G453010,2020,4.81156E+11,71342148549,4.09814E+11,3.25124E+11,118000
게임빌,535746,63080,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015,3.31943E+11,1.19535E+11,2.12407E+11,1.52296E+11,77300
게임빌,535746,63080,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016,3.27582E+11,91203538359,2.36379E+11,1.61483E+11,48600
게임빌,535746,63080,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017,3.38029E+11,93552469144,2.44477E+11,1.06372E+11,90600
게임빌,535746,63080,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018,3.54106E+11,1.1021E+11,2.43896E+11,1.12508E+11,54500
게임빌,535746,63080,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019,3.99323E+11,1.44488E+11,2.54835E+11,1.19861E+11,30250
파라다이스,171265,34230,오락·문화,106,"호텔, 레스토랑, 레저",G253010,2015,1.99387E+12,7.07354E+11,1.28652E+12,6.15357E+11,17900
파라다이스,171265,34230,오락·문화,106,"호텔, 레스토랑, 레저",G253010,2016,2.30802E+12,9.98353E+11,1.30967E+12,6.94856E+11,12050
파라다이스,171265,34230,오락·문화,106,"호텔, 레스토랑, 레저",G253010,2017,2.43532E+12,1.14199E+12,1.29334E+12,6.68042E+11,22650
