종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2020_3,66398000.0,28894,"69,267,173,000,000","18,768,114,000,000","50,499,059,000,000","8,128,767,000,000","1,077,862,000,000",83000,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2020_4,89531000.0,29008,"71,173,853,000,000","19,264,756,000,000","51,909,097,000,000","31,900,418,000,000","4,758,914,000,000",124500,"728,002,365"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2015_1,29859000.0,2348,-,-,-,-,-,138194,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2015_2,45873500.0,2204,-,-,-,-,-,128982,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2015_3,65104500.0,2219,-,-,-,-,-,103144,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2015_4,66493000.0,2397,"4,385,913,018,000","2,116,334,499,000","2,269,578,519,000","3,251,157,100,000","516,986,279,000",130182,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2016_1,32996500.0,2346,"4,525,184,094,283","2,136,584,631,075","2,388,599,463,208","937,280,220,152","165,036,146,535",129181,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2016_2,45256500.0,2479,"4,927,455,875,640","2,293,343,709,233","2,634,112,166,407","987,281,364,295","213,223,506,226",142200,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2016_3,65075500.0,2568,"5,995,261,107,201","1,767,634,951,065","4,227,626,156,136","1,013,075,223,770","198,000,157,034",177449,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2016_4,68102500.0,2693,"6,370,635,180,592","2,241,036,317,652","4,129,598,862,940","4,022,629,619,982","759,072,951,187",155820,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2017_1,40554500.0,2678,"6,441,452,189,643","2,171,533,454,244","4,269,918,735,399","1,082,247,281,196","210,876,050,870",172442,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2017_2,57676000.0,2532,"7,201,514,565,819","2,253,602,479,270","4,947,912,086,549","1,129,631,366,847","171,420,229,303",169240,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2017_3,75733000.0,2655,"7,620,181,109,693","2,476,356,704,304","5,143,824,405,389","1,200,676,275,220","215,798,264,368",149611,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2017_4,80015500.0,2793,"8,019,251,559,914","2,714,065,324,965","5,305,186,234,949","4,678,468,928,032","770,101,670,207",174447,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2018_1,35219500.0,3050,"8,367,388,514,094","2,989,532,947,479","5,377,855,566,615","1,309,059,864,248","153,751,654,038",156822,"32,962,679"
