종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,70567000,837,"867,391,014,845","278,374,337,593","589,016,677,252",0,"157,651,213,701",37040,"13,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,17689500,832,"946,583,468,516","294,179,310,327","652,404,158,189",0,"48,332,557,501",34780,"13,071,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,36602500,777,"991,317,213,298","319,362,171,136","671,955,042,162",0,"23,626,990,163",41180,"13,079,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,55256250,761,"996,861,215,832","302,575,722,571","694,285,493,261",0,"27,770,698,644",40220,"13,079,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,70361000,760,"897,191,642,084","260,280,600,086","636,911,041,998",0,"100,853,964,155",52280,"13,079,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2015_1,8589000,159,0,0,0,0,0,6795,"14,208,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2015_2,16269500,164,0,0,0,0,0,5951,"14,208,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2015_3,21275500,191,0,0,0,0,0,7036,"14,208,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2015_4,29420000,170,"168,390,495,196","109,301,281,483","59,089,213,713","235,128,640,553","4,999,321,393",8956,"14,208,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_1,8993500,361,"176,066,125,144","116,904,621,279","59,161,503,865","48,856,869,893","1,768,776,801",7342,"20,956,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
