종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,분기,자산,부채,자본,매출액,액면가
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2016_2,1.8785E+11,62159805580,1.2569E+11,8159983109,9363
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2016_3,1.94052E+11,60668643106,1.33383E+11,6543608793,8919
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2016_4,1.86707E+11,62633806253,1.24073E+11,30138866814,5923
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2017_1,1.8319E+11,62210387086,1.20979E+11,5961174352,5990
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2017_2,1.79987E+11,64056504502,1.15931E+11,7084127860,6456
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2017_3,2.01411E+11,85453688008,1.15957E+11,4937194290,9274
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2017_4,1.88193E+11,74514456267,1.13679E+11,23006912167,18238
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2018_1,2.31679E+11,89595009949,1.42084E+11,6096637465,31684
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2018_2,2.79347E+11,1.12418E+11,1.66929E+11,11236555519,42823
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2018_3,2.67424E+11,79826243582,1.87598E+11,7371271977,54139
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2018_4,3.04041E+11,94517242572,2.09524E+11,36185983416,35945
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2019_1,3.19213E+11,1.07539E+11,2.11675E+11,7218071120,35101
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2019_2,2.97419E+11,1.33618E+11,1.63801E+11,9528218586,12869
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2019_3,3.30153E+11,1.4498E+11,1.85173E+11,9148191228,26714
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2019_4,3.62612E+11,1.7337E+11,1.89242E+11,38420748245,51920
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2020_1,3.56773E+11,1.59848E+11,1.96925E+11,12023009291,38651
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2020_2,6.94005E+11,1.40845E+11,5.5316E+11,9993642398,47410
