name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
LG화학,356361,51910,화학,8,화학,G151010,2019_3,3.35E+13,1.60E+13,1.75E+13,7.35E+12,1.37E+11,300000,70592343,2.12E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_4,3.40E+13,1.66E+13,1.74E+13,2.86E+13,3.76E+11,321000,70592343,2.27E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_1,3.71E+13,1.97E+13,1.74E+13,7.12E+12,36347000000,306500,70592343,2.16E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_2,3.86E+13,2.07E+13,1.78E+13,6.94E+12,4.19E+11,501000,70592343,3.54E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_3,4.00E+13,2.12E+13,1.88E+13,7.51E+12,5.70E+11,670000,70592343,4.73E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_4,4.14E+13,2.26E+13,1.88E+13,3.01E+13,6.82E+11,849000,70592343,5.99E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2015_4,1.62E+13,4.97E+12,1.13E+13,7.57E+12,25685765743,115500,68764530,7.94E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_1,1.53E+13,5.03E+12,1.02E+13,1.29E+12,7.17E+11,99700,68764530,6.86E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_2,1.59E+13,4.69E+12,1.12E+13,1.32E+12,9.56E+11,107500,68764530,7.39E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_3,1.52E+13,4.13E+12,1.11E+13,1.29E+12,35166313566,98100,68764530,6.75E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_4,1.49E+13,3.94E+12,1.10E+13,5.20E+12,2.11E+11,103500,68764530,7.12E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_1,1.47E+13,3.90E+12,1.08E+13,1.30E+12,81653755730,138000,68764530,9.49E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_2,1.52E+13,4.09E+12,1.12E+13,1.45E+12,1.87E+11,165500,68764530,1.14E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_3,1.56E+13,4.34E+12,1.13E+13,1.71E+12,1.35E+11,203000,68764530,1.40E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_4,1.58E+13,4.30E+12,1.15E+13,6.32E+12,6.43E+11,207500,68764530,1.43E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_1,1.63E+13,4.70E+12,1.16E+13,1.91E+12,1.60E+11,200000,68764530,1.38E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_2,1.69E+13,5.13E+12,1.18E+13,2.25E+12,1.05E+11,215000,68764530,1.48E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_3,1.84E+13,6.39E+12,1.20E+13,2.52E+12,2.14E+11,259500,68764530,1.78E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_4,1.93E+13,7.12E+12,1.22E+13,9.16E+12,7.45E+11,222000,68764530,1.53E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_1,1.96E+13,7.24E+12,1.23E+13,2.30E+12,57896315369,218000,68764530,1.50E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_2,1.98E+13,7.25E+12,1.25E+13,2.40E+12,1.60E+11,239500,68764530,1.65E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_3,1.97E+13,6.98E+12,1.28E+13,2.57E+12,2.17E+11,220000,68764530,1.51E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_4,1.99E+13,7.19E+12,1.27E+13,1.01E+13,4.02E+11,237000,68764530,1.63E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_1,1.99E+13,7.42E+12,1.25E+13,2.40E+12,728532029,245500,68764530,1.69E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_2,2.05E+13,7.89E+12,1.27E+13,2.56E+12,47696807401,369500,68764530,2.54E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_3,2.08E+13,7.84E+12,1.30E+13,3.09E+12,2.41E+11,433500,68764530,2.98E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_4,2.15E+13,8.18E+12,1.34E+13,1.13E+13,6.31E+11,660000,68764530,4.54E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2015_4,1.65E+14,9.85E+13,6.69E+13,9.20E+13,6.51E+12,147500,220276479,3.25E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_1,1.65E+14,9.76E+13,6.75E+13,2.24E+13,1.77E+12,156000,220276479,3.44E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_2,1.70E+14,1.01E+14,6.92E+13,2.47E+13,1.76E+12,138000,220276479,3.04E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_3,1.67E+14,9.78E+13,6.92E+13,2.21E+13,1.12E+12,138500,220276479,3.05E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_4,1.79E+14,1.06E+14,7.23E+13,9.36E+13,5.72E+12,146000,220276479,3.22E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_1,1.73E+14,1.01E+14,7.18E+13,2.34E+13,1.41E+12,159500,220276479,3.51E+13
