종목,symbol,stock_code,업종,type_code,WICS,WICS_code,연도,자산,부채,자본,매출액,액면가
두산중공업,159616,34020,기계,12,기계,G201060,2019,2.48E+13,1.86E+13,6.20E+12,1.57E+13,5263
두산중공업,159616,34020,기계,12,기계,G201060,2020,2.56E+13,1.85E+13,7.11E+12,1.51E+13,13600
현대중공업,1390344,329180,운수장비,15,조선,G201065,2020,1.38E+13,8.44E+12,5.36E+12,8.31E+12,0
고려아연,102858,10130,철강및금속,11,비철금속,G151040,2015,5.91E+12,6.89E+11,5.22E+12,4.77E+12,463000
고려아연,102858,10130,철강및금속,11,비철금속,G151040,2016,6.48E+12,8.20E+11,5.66E+12,5.85E+12,468000
고려아연,102858,10130,철강및금속,11,비철금속,G151040,2017,7.04E+12,9.32E+11,6.11E+12,6.60E+12,495500
고려아연,102858,10130,철강및금속,11,비철금속,G151040,2018,7.23E+12,8.51E+11,6.37E+12,6.88E+12,427500
고려아연,102858,10130,철강및금속,11,비철금속,G151040,2019,7.84E+12,1.00E+12,6.84E+12,6.69E+12,428000
고려아연,102858,10130,철강및금속,11,비철금속,G151040,2020,8.50E+12,1.41E+12,7.09E+12,7.58E+12,404000
대한항공,113526,3490,운수창고,19,항공사,G203020,2015,2.42E+13,2.17E+13,2.50E+12,1.15E+13,16946
대한항공,113526,3490,운수창고,19,항공사,G203020,2016,2.40E+13,2.21E+13,1.87E+12,1.17E+13,16671
대한항공,113526,3490,운수창고,19,항공사,G203020,2017,2.46E+13,2.09E+13,3.75E+12,1.21E+13,22110
대한항공,113526,3490,운수창고,19,항공사,G203020,2018,2.56E+13,2.27E+13,2.89E+12,1.30E+13,21365
대한항공,113526,3490,운수창고,19,항공사,G203020,2019,2.70E+13,2.42E+13,2.78E+12,1.27E+13,18479
대한항공,113526,3490,운수창고,19,항공사,G203020,2020,2.52E+13,2.19E+13,3.31E+12,7.61E+12,21284
아모레퍼시픽,583424,90430,화학,8,화장품,G252065,2015,4.44E+12,1.07E+12,3.37E+12,4.77E+12,415000
아모레퍼시픽,583424,90430,화학,8,화장품,G252065,2016,5.18E+12,1.28E+12,3.90E+12,5.65E+12,315500
아모레퍼시픽,583424,90430,화학,8,화장품,G252065,2017,5.38E+12,1.20E+12,4.18E+12,5.12E+12,312000
아모레퍼시픽,583424,90430,화학,8,화장품,G252065,2018,5.37E+12,9.25E+11,4.45E+12,5.28E+12,208000
아모레퍼시픽,583424,90430,화학,8,화장품,G252065,2019,5.99E+12,1.49E+12,4.50E+12,5.58E+12,202500
