name,symbol,stock_code,type,type_code,WICS,WICS_code,time,avg_salary,employee_num,assets,dept,equity,income,real_income,price,stock_count,total_value
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_2,32000000,67415,1.69718E+14,1.00542E+14,6.91758E+13,2.46767E+13,1.76392E+12,138000,220276479,3.03982E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_3,48000000,67829,1.67081E+14,9.78337E+13,6.92473E+13,2.20837E+13,1.11876E+12,138500,220276479,3.05083E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_4,85000000,67517,1.78836E+14,1.06491E+14,7.23446E+13,9.3649E+13,5.71965E+12,146000,220276479,3.21604E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_1,16500000,66806,1.73241E+14,1.01466E+14,7.17746E+13,2.3366E+13,1.40569E+12,159500,220276479,3.51341E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_2,33500000,68254,1.78757E+14,1.05079E+14,7.3678E+13,2.4308E+13,9.13626E+11,159500,220276479,3.51341E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_3,51000000,68194,1.81488E+14,1.06889E+14,7.45984E+13,2.42013E+13,9.39182E+11,149500,220276479,3.29313E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_4,83000000,68590,1.78199E+14,1.03442E+14,7.47574E+13,9.63761E+13,4.5464E+12,150500,220276479,3.31516E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2018_1,17000000,68320,1.75569E+14,1.01089E+14,7.44801E+13,2.24366E+13,7.31635E+11,144500,220276479,3.183E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2018_2,33500000,68478,1.79332E+14,1.04379E+14,7.49532E+13,2.47118E+13,8.10727E+11,125000,220276479,2.75346E+13
기아,106641,270,운수장비,15,자동차,G251020,2015_4,86500000,34121,4.59801E+13,2.17761E+13,2.4204E+13,4.95214E+13,2.6306E+12,51700,405363347,2.09573E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_1,16000000,34046,4.82835E+13,2.36865E+13,2.4597E+13,1.26494E+13,9.44584E+11,49100,405363347,1.99033E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_2,32000000,34114,4.94297E+13,2.41635E+13,2.52662E+13,1.445E+13,8.25686E+11,44000,405363347,1.7836E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_3,49500000,34015,4.78832E+13,2.23003E+13,2.55829E+13,1.26989E+13,6.64368E+11,42500,405363347,1.72279E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_4,85000000,34102,5.08893E+13,2.43098E+13,2.65794E+13,5.27129E+13,2.75464E+12,39000,405363347,1.58092E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_1,16500000,34007,5.20386E+13,2.55738E+13,2.64648E+13,1.28439E+13,7.65378E+11,36700,405363347,1.48768E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_2,32500000,34527,5.28087E+13,2.56585E+13,2.71503E+13,1.35784E+13,3.89598E+11,38050,405363347,1.54241E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_3,50500000,34752,5.45641E+13,2.75642E+13,2.69999E+13,1.41077E+13,2.91767E+11,31800,405363347,1.28906E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_4,83500000,34720,5.22944E+13,2.54333E+13,2.68612E+13,5.35357E+13,9.68018E+11,33000,405363347,1.3377E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_1,16500000,34670,5.28162E+13,2.58416E+13,2.69746E+13,1.25622E+13,4.31958E+11,31050,405363347,1.25865E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_2,33000000,34621,5.27084E+13,2.54784E+13,2.723E+13,1.40601E+13,3.31897E+11,30850,405363347,1.25055E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_3,56500000,34967,5.20832E+13,2.47378E+13,2.73454E+13,1.40743E+13,2.97741E+11,35150,405363347,1.42485E+13
