종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2016_2,21000000,502,822722000000 ,446064000000 ,376658000000 ,116508000000 ,26738390602 ,119000,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2016_3,32000000,517,831378000000 ,427980000000 ,403398000000 ,123695000000 ,-,156400,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2016_4,-,-,903109895045 ,465970614296 ,437139280749 ,461443515086 ,110452762497 ,173500,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2017_1,15500000,541,904055000000 ,577298000000 ,326757000000 ,116369000000 ,21835135966 ,163900,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2017_2,21000000,633,979994000000 ,624559000000 ,355435000000 ,124230000000 ,26355754718 ,197200,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2017_3,32500000,640,1063920000000 ,678519000000 ,385405000000 ,131496000000 ,28061885983 ,177000,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2017_4,-,-,1118007375949 ,709870114418 ,408137261531 ,512294419626 ,104063434649 ,178700,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2018_1,22,653,1232550000000 ,800225000000 ,432320000000 ,142296000000 ,22840261266 ,147900,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2018_2,34500000,639,1317940000000 ,915859000000 ,402078000000 ,157512000000 ,26169718205 ,180100,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2018_3,45000000,667,1337250000000 ,968337000000 ,368910000000 ,185984000000 ,38549886620 ,182400,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2018_4,-,-,1398430529239 ,995127339400 ,403303189839 ,687252387797 ,123440138280 ,150100,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2019_1,34000000,713,1448020000000 ,1039100000000 ,408925000000 ,184256000000 ,35637305442 ,172800,
